time,open,high,low,close,tick_volume,spread,real_volume
2022-12-16 03:00:00,17402.23,17427.75,17400.95,17423.78,3459,1090,0
2022-12-16 04:00:00,17423.27,17426.23,17390.81,17394.38,3399,1001,0
2022-12-16 05:00:00,17393.7,17417.39,17375.86,17414.7,3389,1026,0
2022-12-16 06:00:00,17414.33,17428.9,17383.26,17425.09,3422,995,0
2022-12-16 07:00:00,17424.76,17524.83,17422.49,17506.05,3526,1204,0
2022-12-16 08:00:00,17505.23,17516.47,17190.72,17218.9,3784,1041,0
2022-12-16 09:00:00,17220.29,17221.61,16959.92,17041.24,4185,370,0
2022-12-16 10:00:00,17042.38,17042.38,16917.34,16990.57,3737,1059,0
2022-12-16 11:00:00,16990.42,17042.51,16964.2,17017.32,3571,1252,0
2022-12-16 12:00:00,17018.38,17039.06,16974.0,17036.06,3551,1171,0
2022-12-16 13:00:00,17035.9,17035.9,16928.4,16937.12,3580,1167,0
2022-12-16 14:00:00,16938.33,17099.61,16884.89,17031.19,3771,850,0
2022-12-16 15:00:00,17032.14,17033.46,16898.65,16959.3,3586,1157,0
2022-12-16 16:00:00,16959.67,16974.08,16738.98,16805.89,3898,768,0
2022-12-16 17:00:00,16806.24,16828.26,16753.17,16782.98,3669,1144,0
2022-12-16 18:00:00,16783.0,16825.76,16768.3,16800.32,3532,1334,0
2022-12-16 19:00:00,16798.97,16868.76,16787.34,16861.49,3500,1404,0
2022-12-16 20:00:00,16860.29,16945.75,16849.17,16869.37,3562,1516,0
2022-12-16 21:00:00,16871.31,16885.34,16797.53,16823.22,3585,1331,0
2022-12-16 22:00:00,16823.63,16858.87,16691.61,16717.18,3716,1187,0
2022-12-16 23:00:00,16716.83,16728.47,16532.06,16625.77,4118,510,0
2022-12-17 00:00:00,16624.28,16725.03,16600.35,16704.78,3600,1184,0
2022-12-17 01:00:00,16704.73,16721.35,16650.38,16665.85,3540,1149,0
2022-12-17 02:00:00,16666.64,16675.07,16587.1,16648.03,3538,1206,0
2022-12-17 03:00:00,16648.05,16700.05,16634.11,16673.45,3430,1362,0
2022-12-17 04:00:00,16673.41,16718.17,16655.35,16706.74,3533,1294,0
2022-12-17 05:00:00,16706.89,16731.75,16680.21,16691.33,3501,1119,0
2022-12-17 06:00:00,16692.16,16770.24,16669.6,16713.52,3586,1104,0
2022-12-17 07:00:00,16713.28,16746.52,16680.68,16744.31,3499,1228,0
2022-12-17 08:00:00,16742.66,16751.42,16707.32,16720.81,3462,1147,0
2022-12-17 09:00:00,16720.87,16731.65,16676.08,16695.24,3465,1106,0
2022-12-17 10:00:00,16695.18,16750.53,16661.92,16731.17,3498,1110,0
2022-12-17 11:00:00,16731.4,16749.06,16686.34,16702.95,3410,1055,0
2022-12-17 12:00:00,16702.85,16723.06,16664.31,16685.79,3451,1201,0
2022-12-17 13:00:00,16685.98,16698.17,16646.91,16662.89,3468,1268,0
2022-12-17 14:00:00,16662.71,16705.62,16640.24,16643.23,3491,1283,0
2022-12-17 15:00:00,16642.87,16700.88,16640.52,16694.49,3484,1231,0
2022-12-17 16:00:00,16695.52,16698.2,16671.55,16688.54,3403,1362,0
2022-12-17 17:00:00,16688.57,16694.98,16642.67,16661.64,3442,1324,0
2022-12-17 18:00:00,16661.59,16725.3,16655.66,16707.46,3422,1239,0
2022-12-17 19:00:00,16707.74,16727.41,16684.67,16694.21,3377,1180,0
2022-12-17 20:00:00,16693.59,16709.62,16682.11,16697.06,3414,1033,0
2022-12-17 21:00:00,16696.24,16726.27,16694.16,16706.66,3433,1086,0
2022-12-17 22:00:00,16707.01,16754.67,16698.52,16737.12,3395,1133,0
2022-12-17 23:00:00,16736.47,16793.39,16720.17,16772.91,3532,1199,0
2022-12-18 00:00:00,16771.69,16779.81,16719.1,16740.9,3450,941,0
2022-12-18 01:00:00,16740.25,16745.44,16698.28,16712.93,3434,1026,0
2022-12-18 02:00:00,16713.56,16734.0,16706.57,16729.06,3412,1270,0
2022-12-18 03:00:00,16727.75,16739.59,16723.27,16735.32,3342,1210,0
2022-12-18 04:00:00,16735.5,16799.02,16731.69,16764.87,3479,782,0
2022-12-18 05:00:00,16764.88,16768.19,16738.19,16741.81,3398,693,0
2022-12-18 06:00:00,16742.2,16747.09,16718.13,16732.13,3236,871,0
2022-12-18 07:00:00,16732.11,16759.8,16730.24,16746.27,3413,932,0
2022-12-18 08:00:00,16746.89,16764.49,16736.47,16751.33,3401,933,0
2022-12-18 09:00:00,16749.96,16755.94,16659.79,16697.46,3509,913,0
2022-12-18 10:00:00,16697.45,16713.98,16684.38,16705.4,3439,966,0
2022-12-18 11:00:00,16705.43,16721.12,16695.23,16704.56,3415,856,0
2022-12-18 12:00:00,16704.66,16728.28,16700.62,16718.62,3384,799,0
2022-12-18 13:00:00,16719.0,16726.67,16694.31,16705.71,3367,776,0
2022-12-18 14:00:00,16706.47,16721.51,16675.31,16679.35,3421,863,0
2022-12-18 15:00:00,16679.31,16689.02,16668.89,16681.8,3294,1075,0
2022-12-18 16:00:00,16681.91,16699.64,16673.2,16689.71,3397,1206,0
2022-12-18 17:00:00,16687.29,16708.11,16673.91,16708.05,3419,1237,0
2022-12-18 18:00:00,16707.88,16784.68,16703.34,16736.74,3534,1276,0
2022-12-18 19:00:00,16736.96,16757.1,16719.22,16742.21,3434,1209,0
2022-12-18 20:00:00,16742.27,16766.45,16739.51,16755.8,3425,1200,0
2022-12-18 21:00:00,16756.13,16774.59,16733.39,16741.51,3424,1093,0
2022-12-18 22:00:00,16741.28,16837.11,16722.98,16758.24,3523,522,0
2022-12-18 23:00:00,16758.37,16814.98,16732.8,16733.05,3511,1008,0
2022-12-19 00:00:00,16735.7,16812.99,16717.84,16772.32,3511,1003,0
2022-12-19 01:00:00,16773.07,16801.21,16752.07,16778.65,3460,902,0
2022-12-19 02:00:00,16779.76,16787.66,16717.77,16721.56,3494,884,0
2022-12-19 03:00:00,16720.1,16729.13,16627.05,16679.83,3557,1007,0
2022-12-19 04:00:00,16680.72,16739.33,16668.45,16714.66,3497,404,0
2022-12-19 05:00:00,16714.01,16727.31,16695.5,16701.21,3446,856,0
2022-12-19 06:00:00,16700.25,16742.27,16693.45,16736.36,3468,793,0
2022-12-19 07:00:00,16736.23,16745.31,16694.42,16718.38,3460,874,0
2022-12-19 08:00:00,16719.13,16755.67,16705.27,16753.83,3448,834,0
2022-12-19 09:00:00,16753.8,16762.16,16733.03,16741.92,3419,785,0
2022-12-19 10:00:00,16742.72,16776.27,16738.84,16763.47,3408,682,0
2022-12-19 11:00:00,16764.11,16768.45,16720.19,16728.65,3442,729,0
2022-12-19 12:00:00,16729.82,16750.38,16713.07,16738.31,3441,721,0
2022-12-19 13:00:00,16738.56,16748.94,16704.23,16711.44,3498,804,0
2022-12-19 14:00:00,16710.95,16751.31,16662.34,16725.02,3633,847,0
2022-12-19 15:00:00,16725.06,16733.43,16653.73,16657.09,3535,1042,0
2022-12-19 16:00:00,16657.1,16683.1,16575.05,16628.85,3620,1005,0
2022-12-19 17:00:00,16629.49,16643.82,16516.55,16591.09,3691,489,0
2022-12-19 18:00:00,16590.01,16624.57,16526.64,16537.85,3553,921,0
2022-12-19 19:00:00,16537.84,16578.54,16526.15,16553.39,3568,1008,0
2022-12-19 20:00:00,16553.71,16600.77,16531.91,16586.85,3446,1010,0
2022-12-19 21:00:00,16586.9,16635.98,16572.51,16577.21,3485,942,0
2022-12-19 22:00:00,16577.17,16591.59,16273.96,16410.44,3781,187,0
2022-12-19 23:00:00,16412.0,16453.82,16371.53,16438.93,3659,958,0
2022-12-20 00:00:00,16439.47,16475.79,16394.01,16458.93,3591,923,0
2022-12-20 01:00:00,16456.39,16591.84,16443.46,16573.96,3691,924,0
2022-12-20 02:00:00,16574.52,16820.54,16540.26,16719.69,3792,995,0
2022-12-20 03:00:00,16719.25,16818.13,16671.87,16724.01,3678,930,0
2022-12-20 04:00:00,16725.95,16868.34,16688.73,16791.46,3707,1107,0
2022-12-20 05:00:00,16790.74,16812.19,16751.16,16792.19,3531,1090,0
2022-12-20 06:00:00,16791.18,16841.27,16750.09,16838.69,3498,1039,0
2022-12-20 07:00:00,16839.39,16848.51,16788.38,16809.11,3451,879,0
2022-12-20 08:00:00,16809.63,16841.48,16768.85,16831.12,3519,951,0
2022-12-20 09:00:00,16831.24,16855.03,16798.9,16815.07,3502,963,0
2022-12-20 10:00:00,16812.88,16829.68,16771.81,16782.92,3478,916,0
2022-12-20 11:00:00,16781.59,16842.28,16770.6,16816.83,3509,872,0
2022-12-20 12:00:00,16817.01,16853.93,16804.25,16821.7,3449,817,0
2022-12-20 13:00:00,16820.85,16833.83,16785.57,16791.05,3476,870,0
2022-12-20 14:00:00,16791.21,16960.09,16715.33,16901.2,3703,821,0
2022-12-20 15:00:00,16902.23,17047.94,16898.52,16918.52,3623,1500,0
2022-12-20 16:00:00,16920.21,16934.84,16776.46,16831.72,3527,1358,0
2022-12-20 17:00:00,16832.71,16856.27,16785.51,16813.38,3477,1230,0
2022-12-20 18:00:00,16812.98,16862.32,16771.8,16835.01,3499,1264,0
2022-12-20 19:00:00,16835.01,16919.83,16835.01,16900.39,3495,1237,0
2022-12-20 20:00:00,16900.16,16926.66,16849.37,16863.5,3477,1188,0
2022-12-20 21:00:00,16864.15,16896.23,16840.98,16887.86,3466,1158,0
2022-12-20 22:00:00,16888.36,16908.83,16859.09,16877.37,3448,1040,0
2022-12-20 23:00:00,16877.52,16929.63,16873.71,16901.3,3465,1103,0
2022-12-21 00:00:00,16902.62,16928.27,16820.96,16848.17,3497,1006,0
2022-12-21 01:00:00,16847.71,16884.42,16831.94,16873.36,3483,1107,0
2022-12-21 02:00:00,16873.84,16880.94,16842.69,16853.32,3444,1030,0
2022-12-21 03:00:00,16853.79,16858.01,16803.6,16840.86,3439,969,0
2022-12-21 04:00:00,16840.87,16840.89,16791.82,16797.7,3476,1030,0
2022-12-21 05:00:00,16799.72,16847.89,16777.22,16839.81,3468,978,0
2022-12-21 06:00:00,16839.84,16857.89,16819.3,16841.97,3451,1036,0
2022-12-21 07:00:00,16842.54,16858.0,16816.0,16821.18,3446,956,0
2022-12-21 08:00:00,16821.57,16893.84,16800.13,16873.77,3477,982,0
2022-12-21 09:00:00,16874.89,16887.67,16855.94,16874.84,3449,975,0
2022-12-21 10:00:00,16875.56,16886.73,16855.51,16871.34,3436,956,0
2022-12-21 11:00:00,16871.27,16893.44,16857.64,16883.38,3427,933,0
2022-12-21 12:00:00,16883.2,16890.46,16839.3,16840.51,3435,934,0
2022-12-21 13:00:00,16840.12,16857.01,16818.13,16848.91,3470,1020,0
2022-12-21 14:00:00,16848.09,16913.76,16733.51,16788.8,3626,1042,0
2022-12-21 15:00:00,16790.54,16872.72,16768.33,16860.31,3573,1012,0
2022-12-21 16:00:00,16860.44,16867.63,16790.4,16792.01,3470,862,0
2022-12-21 17:00:00,16792.97,16821.53,16778.43,16816.85,3459,826,0
2022-12-21 18:00:00,16817.52,16835.4,16782.76,16794.49,3442,852,0
2022-12-21 19:00:00,16794.92,16810.84,16738.62,16757.23,3473,898,0
2022-12-21 20:00:00,16757.21,16786.13,16738.08,16783.71,3479,899,0
2022-12-21 21:00:00,16783.36,16802.74,16762.81,16793.96,3449,844,0
2022-12-21 22:00:00,16795.54,16795.86,16763.68,16773.32,3416,903,0
2022-12-21 23:00:00,16773.3,16838.52,16754.72,16831.4,3488,870,0
2022-12-22 00:00:00,16827.65,16860.78,16814.7,16856.41,3472,824,0
2022-12-22 01:00:00,16857.88,16861.06,16820.44,16824.55,3399,785,0
2022-12-22 02:00:00,16824.75,16858.04,16818.59,16853.76,3429,804,0
2022-12-22 03:00:00,16855.46,16863.1,16838.04,16858.77,3412,893,0
2022-12-22 04:00:00,16858.92,16862.97,16835.8,16836.72,3397,836,0
2022-12-22 05:00:00,16838.25,16845.0,16821.01,16830.82,3421,890,0
2022-12-22 06:00:00,16830.81,16834.58,16798.7,16815.36,3429,873,0
2022-12-22 07:00:00,16815.46,16832.88,16792.92,16827.91,3375,805,0
2022-12-22 08:00:00,16827.93,16856.86,16803.44,16839.0,3443,927,0
2022-12-22 09:00:00,16839.0,16865.67,16824.97,16848.81,3464,932,0
2022-12-22 10:00:00,16849.0,16861.39,16821.93,16826.1,3447,984,0
2022-12-22 11:00:00,16826.59,16846.51,16814.7,16836.01,3417,986,0
2022-12-22 12:00:00,16835.85,16844.88,16813.17,16820.5,3413,1062,0
2022-12-22 13:00:00,16819.97,16823.78,16756.12,16786.88,3546,1066,0
2022-12-22 14:00:00,16786.59,16788.17,16642.89,16669.28,3671,975,0
2022-12-22 15:00:00,16668.26,16706.72,16607.65,16633.85,3590,969,0
2022-12-22 16:00:00,16630.9,16668.07,16615.08,16662.47,3525,939,0
2022-12-22 17:00:00,16661.94,16665.81,16570.02,16592.34,3565,879,0
2022-12-22 18:00:00,16592.71,16622.14,16564.36,16613.85,3486,840,0
2022-12-22 19:00:00,16614.35,16662.5,16610.13,16660.32,3466,928,0
2022-12-22 20:00:00,16661.15,16848.78,16643.26,16783.53,3852,513,0
2022-12-22 21:00:00,16783.89,16821.99,16773.24,16795.9,3480,919,0
2022-12-22 22:00:00,16796.48,16844.9,16790.02,16799.24,1678,833,0
2022-12-22 23:00:00,16798.35,16823.2,16797.68,16821.04,3295,953,0
2022-12-23 00:00:00,16820.79,16820.97,16775.54,16783.81,3293,848,0
2022-12-23 01:00:00,16783.81,16808.68,16778.82,16798.3,3243,843,0
2022-12-23 02:00:00,16799.16,16853.15,16782.06,16842.19,3197,813,0
2022-12-23 03:00:00,16842.04,16882.02,16826.88,16830.09,3305,971,0
2022-12-23 04:00:00,16830.04,16840.74,16814.92,16840.46,3148,885,0
2022-12-23 05:00:00,16840.34,16844.46,16818.77,16824.9,3061,877,0
2022-12-23 06:00:00,16824.97,16849.95,16811.54,16841.59,3148,865,0
2022-12-23 07:00:00,16841.64,16853.54,16835.91,16848.07,3183,906,0
2022-12-23 08:00:00,16848.16,16857.88,16815.72,16840.1,3380,1012,0
2022-12-23 09:00:00,16840.14,16850.32,16823.44,16842.31,3417,1463,0
2022-12-23 10:00:00,16842.96,16892.85,16836.48,16860.84,3423,1428,0
2022-12-23 11:00:00,16860.27,16868.23,16843.72,16848.36,3371,1325,0
2022-12-23 12:00:00,16848.46,16878.18,16840.9,16875.05,3420,1373,0
2022-12-23 13:00:00,16874.4,16932.39,16753.87,16845.95,3677,388,0
2022-12-23 14:00:00,16846.6,16857.45,16768.56,16792.75,3523,1275,0
2022-12-23 15:00:00,16793.86,16895.22,16784.81,16841.83,3523,1336,0
2022-12-23 16:00:00,16840.94,16851.03,16823.07,16838.72,3449,1209,0
2022-12-23 17:00:00,16838.36,16858.75,16829.72,16850.02,3441,1316,0
2022-12-23 18:00:00,16850.28,16864.29,16828.85,16842.69,3432,1136,0
2022-12-23 19:00:00,16843.28,16865.98,16835.32,16853.42,3417,1172,0
2022-12-23 20:00:00,16852.31,16859.07,16797.67,16813.09,3456,1129,0
2022-12-23 21:00:00,16814.93,16824.07,16793.75,16818.54,3415,1142,0
2022-12-23 22:00:00,16818.44,16822.83,16768.92,16793.34,3404,941,0
2022-12-23 23:00:00,16793.63,16799.44,16778.8,16782.65,3404,1037,0
2022-12-24 00:00:00,16784.18,16819.63,16779.78,16809.61,3407,1316,0
2022-12-24 01:00:00,16811.39,16835.76,16803.64,16822.83,3340,884,0
2022-12-24 02:00:00,16823.39,16839.44,16809.99,16835.25,3375,963,0
2022-12-24 03:00:00,16835.06,16855.34,16830.22,16855.32,3358,898,0
2022-12-24 04:00:00,16855.34,16856.6,16829.4,16839.46,3375,891,0
2022-12-24 05:00:00,16839.33,16839.71,16810.66,16821.6,3378,787,0
2022-12-24 06:00:00,16822.36,16828.33,16815.57,16828.33,3406,891,0
2022-12-24 07:00:00,16828.37,16860.5,16812.39,16855.45,3371,934,0
2022-12-24 08:00:00,16854.02,16855.38,16831.37,16832.02,3309,854,0
2022-12-24 09:00:00,16831.05,16855.87,16827.06,16837.85,3228,763,0
2022-12-24 10:00:00,16837.91,16840.61,16824.81,16831.86,3264,728,0
2022-12-24 11:00:00,16832.0,16842.24,16823.62,16830.73,3283,739,0
2022-12-24 12:00:00,16830.6,16833.85,16821.03,16827.53,3191,764,0
2022-12-24 13:00:00,16827.37,16834.2,16822.49,16828.22,3163,926,0
2022-12-24 14:00:00,16828.24,16842.26,16823.35,16836.63,3202,921,0
2022-12-24 15:00:00,16836.63,16845.82,16833.22,16840.56,3228,806,0
2022-12-24 16:00:00,16840.85,16848.41,16827.65,16840.81,3220,778,0
2022-12-24 17:00:00,16840.99,16850.43,16837.14,16850.25,3198,709,0
2022-12-24 18:00:00,16850.28,16854.84,16833.54,16846.56,3302,729,0
2022-12-24 19:00:00,16846.61,16864.3,16839.58,16851.61,3345,754,0
2022-12-24 20:00:00,16851.73,16854.74,16838.18,16849.07,3279,754,0
2022-12-24 21:00:00,16849.06,16858.53,16829.96,16836.7,3285,758,0
2022-12-24 22:00:00,16836.61,16842.45,16824.16,16833.63,3286,696,0
2022-12-24 23:00:00,16833.58,16855.69,16813.05,16842.82,3384,835,0
2022-12-25 00:00:00,16841.88,16852.5,16833.66,16848.63,3389,810,0
2022-12-25 01:00:00,16848.35,16857.76,16845.54,16848.58,3346,824,0
2022-12-25 02:00:00,16848.61,16854.53,16831.4,16836.72,3254,847,0
2022-12-25 03:00:00,16836.26,16844.13,16831.34,16839.1,3272,805,0
2022-12-25 04:00:00,16838.85,16842.32,16824.77,16829.38,3310,756,0
2022-12-25 05:00:00,16829.61,16841.38,16811.51,16834.44,3417,825,0
2022-12-25 06:00:00,16834.87,16838.16,16823.89,16834.82,3126,730,0
2022-12-25 07:00:00,16834.84,16839.3,16825.25,16827.54,3337,714,0
2022-12-25 08:00:00,16827.4,16841.02,16827.4,16836.2,3356,715,0
2022-12-25 09:00:00,16836.2,16842.04,16830.74,16838.55,3356,687,0
2022-12-25 10:00:00,16838.43,16840.34,16826.26,16828.56,3265,603,0
